room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island
2,151,2,73,0.63,1,302,False,False,True,False,False
2,228,3,82,0.7,1,140,False,True,False,False,False
2,144,2,328,2.82,1,234,False,True,False,False,False
2,200,7,19,0.22,1,257,False,False,True,False,False
1,110,5,19,0.17,1,301,False,False,True,False,False
1,69,2,289,2.49,2,294,False,False,True,False,False
1,49,4,138,1.19,3,320,False,True,False,False,False
1,80,2,42,0.38,1,263,False,True,False,False,False
2,250,2,66,0.57,2,231,False,False,True,False,False
1,55,7,27,0.23,2,292,False,True,False,False,False
2,225,3,4,0.16,1,0,False,True,False,False,False
1,80,1,338,4.72,2,72,False,False,True,False,False
2,275,1,148,1.4,1,362,False,True,False,False,False
1,99,1,106,1.26,2,336,False,False,True,False,False
2,225,4,190,1.64,1,215,False,False,True,False,False
2,230,9,49,0.43,1,116,False,False,True,False,False
1,51,7,23,0.43,1,88,False,False,True,False,False
1,65,2,49,1.6,2,336,False,False,True,False,False
1,105,2,105,0.92,1,304,False,True,False,False,False
2,190,5,21,0.2,1,224,False,False,True,False,False
1,200,1,142,1.5,1,322,False,False,True,False,False
1,95,3,143,1.28,1,132,False,True,False,False,False
1,150,3,167,1.65,1,295,False,False,True,False,False
1,145,3,61,0.54,4,238,False,True,False,False,False
2,285,5,70,0.62,1,328,False,False,True,False,False
2,130,6,16,0.15,1,38,False,True,False,False,False
2,105,3,61,0.53,1,272,False,True,False,False,False
1,60,3,194,1.73,1,26,False,False,True,False,False
1,50,1,2,0.05,1,0,False,False,True,False,False
1,85,3,174,1.54,4,288,False,True,False,False,False
1,65,4,24,0.28,1,317,False,True,False,False,False
2,131,4,166,3.4,1,207,False,True,False,False,False
1,98,7,16,0.2,6,185,False,True,False,False,False
2,250,7,21,0.3,1,158,False,True,False,False,False
2,100,5,168,1.57,1,0,False,True,False,False,False
2,105,3,118,1.05,2,9,False,True,False,False,False
2,140,3,81,0.71,1,198,False,False,True,False,False
1,89,1,1,0.11,1,365,False,False,True,False,False
2,125,7,139,1.23,2,311,False,True,False,False,False
1,60,3,11,0.87,3,219,False,False,True,False,False
2,175,2,233,2.09,3,342,False,True,False,False,False
1,65,2,68,0.6,1,312,False,False,True,False,False
1,101,3,335,3.02,1,152,False,True,False,False,False
1,100,2,170,1.61,1,346,False,False,True,False,False
1,59,2,334,3.0,2,279,False,False,True,False,False
1,125,2,19,0.2,6,250,False,True,False,False,False
2,140,7,12,0.13,1,164,False,False,True,False,False
2,199,5,38,0.38,1,260,False,False,True,False,False
2,325,3,324,3.01,1,107,False,True,False,False,False
2,235,6,27,0.27,1,199,False,False,True,False,False
2,225,1,115,1.05,4,299,False,False,True,False,False
1,99,2,354,3.2,3,20,False,True,False,False,False
2,170,2,195,2.03,1,318,False,False,True,False,False
2,170,7,13,0.12,1,224,False,False,True,False,False
2,100,4,25,0.23,1,0,False,False,True,False,False
1,75,2,9,0.08,1,324,False,True,False,False,False
1,90,1,9,0.08,1,245,False,True,False,False,False
2,150,5,21,0.19,1,189,False,False,True,False,False
1,70,3,63,0.58,2,310,False,True,False,False,False
2,120,3,155,1.42,3,213,False,False,True,False,False
1,89,3,260,2.35,1,278,False,True,False,False,False
2,185,5,73,0.66,1,209,False,False,True,False,False
1,50,3,193,1.86,1,0,False,True,False,False,False
2,105,3,32,0.29,1,16,False,False,True,False,False
1,130,2,50,0.45,3,234,False,False,True,False,False
1,77,2,2,0.02,1,178,False,True,False,False,False
1,76,2,426,3.89,3,275,False,True,False,False,False
2,125,3,227,2.09,2,163,False,True,False,False,False
1,135,4,84,0.77,3,365,False,True,False,False,False
2,199,3,10,0.1,1,280,False,True,False,False,False
2,140,2,4,0.04,1,0,False,True,False,False,False
1,140,2,1,0.01,1,1,False,False,False,True,False
2,115,3,124,1.72,2,170,False,True,False,False,False
2,160,3,11,0.11,1,188,False,True,False,False,False
2,195,4,240,2.19,1,214,False,True,False,False,False
2,195,3,30,0.28,1,248,False,False,True,False,False
1,80,3,200,1.86,4,262,False,True,False,False,False
1,44,8,27,1.05,5,280,False,True,False,False,False
1,156,4,79,0.74,1,307,False,False,True,False,False
1,125,3,155,1.61,1,1,False,True,False,False,False
1,69,2,34,0.32,1,10,False,False,True,False,False
2,125,6,27,0.25,1,189,False,True,False,False,False
2,219,4,126,1.16,2,290,False,False,True,False,False
2,99,1,234,2.6,2,164,False,False,True,False,False
1,69,4,202,1.86,2,53,False,True,False,False,False
2,135,2,309,2.86,2,3,False,True,False,False,False
1,250,3,14,0.13,1,189,False,True,False,False,False
2,250,3,4,0.08,1,365,False,False,True,False,False
2,250,2,80,2.17,1,0,False,True,False,False,False
2,80,3,2,0.04,1,0,False,False,True,False,False
1,70,2,294,3.47,3,336,False,True,False,False,False
2,165,2,150,1.4,3,342,False,True,False,False,False
1,70,2,166,1.66,1,312,False,False,False,False,True
1,50,2,47,0.94,1,37,False,True,False,False,False
1,40,1,219,2.04,3,353,True,False,False,False,False
2,150,2,193,1.78,1,177,False,True,False,False,False
1,125,1,84,0.78,4,310,False,False,True,False,False
2,196,3,114,1.06,1,0,False,False,True,False,False
1,110,2,213,2.0,2,321,False,True,False,False,False
2,170,3,86,0.8,1,246,False,False,True,False,False
2,165,3,80,0.75,3,231,False,False,True,False,False
2,100,2,18,1.79,1,0,False,False,True,False,False
1,65,2,206,1.92,2,0,False,True,False,False,False
1,99,4,122,1.18,2,233,False,False,True,False,False
2,200,4,33,0.58,1,1,False,True,False,False,False
2,150,5,52,0.5,1,18,False,True,False,False,False
1,90,3,126,1.17,4,343,False,True,False,False,False
1,120,3,51,0.48,3,250,False,True,False,False,False
1,75,3,199,1.85,1,326,False,False,True,False,False
2,125,3,3,0.03,1,0,False,False,True,False,False
2,275,1,41,0.38,1,299,False,False,True,False,False
2,299,2,109,1.04,1,207,False,False,True,False,False
2,135,5,151,1.43,3,162,False,True,False,False,False
1,83,1,285,2.69,1,7,False,False,True,False,False
1,123,1,375,3.52,1,328,False,False,True,False,False
1,55,2,52,0.49,2,365,False,False,False,True,False
2,195,5,10,1.01,1,0,False,False,True,False,False
1,80,2,11,0.48,1,0,False,True,False,False,False
1,140,7,6,0.06,5,365,False,False,False,True,False
2,265,7,38,0.38,5,365,False,False,False,True,False
2,249,2,358,3.44,2,164,False,True,False,False,False
0,105,6,10,0.09,1,363,False,False,True,False,False
1,100,2,226,2.12,3,250,False,True,False,False,False
2,121,1,104,1.0,5,247,False,False,True,False,False
1,45,1,138,1.45,3,323,True,False,False,False,False
1,100,5,204,1.92,1,192,False,False,True,False,False
2,140,2,253,3.04,1,125,False,True,False,False,False
1,71,2,23,0.22,1,91,False,True,False,False,False
1,130,2,115,1.17,1,75,False,False,True,False,False
2,199,5,129,1.22,1,286,False,False,True,False,False
1,69,4,82,1.13,2,60,False,True,False,False,False
1,68,3,37,0.35,1,0,False,True,False,False,False
2,130,1,204,2.04,1,192,False,False,True,False,False
2,195,2,69,0.65,1,58,False,True,False,False,False
1,64,1,192,1.84,5,245,False,False,True,False,False
2,140,2,17,0.16,1,292,False,False,False,True,False
2,159,2,222,2.12,1,279,False,True,False,False,False
2,189,3,205,1.96,1,0,False,False,True,False,False
2,250,3,94,0.96,1,3,False,False,True,False,False
2,239,3,7,0.07,1,351,False,False,True,False,False
2,305,2,108,1.09,1,201,False,False,True,False,False
2,155,3,222,2.1,2,232,False,False,True,False,False
1,60,1,458,4.58,2,258,False,False,True,False,False
1,135,2,21,0.26,1,272,False,True,False,False,False
1,120,7,17,0.3,1,341,False,False,True,False,False
2,150,3,41,0.39,1,244,False,False,True,False,False
2,135,2,69,0.67,1,12,False,True,False,False,False
2,250,4,18,0.18,2,265,False,False,True,False,False
2,225,5,10,0.1,1,91,False,False,True,False,False
1,92,1,189,1.82,5,253,False,False,True,False,False
1,175,2,1,0.11,1,365,False,False,True,False,False
2,99,2,127,1.22,1,320,False,False,True,False,False
2,195,4,4,0.04,1,0,False,False,True,False,False
2,140,3,135,1.3,3,192,False,False,True,False,False
2,135,2,21,0.2,1,0,False,False,True,False,False
1,120,4,171,1.8,2,353,False,False,True,False,False
2,65,3,238,2.3,1,2,False,True,False,False,False
2,99,3,111,2.13,1,68,False,True,False,False,False
1,36,2,193,1.85,6,360,False,False,False,False,True
1,37,2,147,1.44,6,0,False,False,False,False,True
1,37,2,177,1.71,6,320,False,False,False,False,True
2,175,3,185,1.78,2,326,False,False,True,False,False
2,205,9,62,0.7,2,76,False,False,True,False,False
2,285,3,124,1.22,3,279,False,True,False,False,False
1,59,2,181,1.77,2,15,False,True,False,False,False
1,36,2,333,3.19,6,340,False,False,False,False,True
2,99,5,441,4.5,1,226,False,False,False,True,False
1,39,1,45,0.46,2,365,False,True,False,False,False
1,90,2,0,0.0,7,349,True,False,False,False,False
2,135,2,248,2.39,2,11,False,True,False,False,False
1,70,3,36,0.41,4,281,False,True,False,False,False
1,75,7,0,0.0,2,323,False,False,True,False,False
2,200,3,0,0.0,1,0,False,False,True,False,False
1,100,3,279,2.69,1,301,False,True,False,False,False
1,70,4,18,0.22,4,189,False,True,False,False,False
1,110,6,50,3.55,1,0,False,True,False,False,False
1,60,2,227,2.27,2,287,False,True,False,False,False
1,68,2,203,1.96,2,86,False,False,True,False,False
2,115,2,210,2.1,1,261,False,False,True,False,False
1,75,5,64,0.67,1,68,False,True,False,False,False
1,60,3,0,0.0,1,0,False,True,False,False,False
2,129,7,5,0.15,1,231,False,False,True,False,False
2,130,10,49,0.48,1,152,False,True,False,False,False
2,95,4,132,1.27,1,46,False,True,False,False,False
1,75,3,20,0.26,1,364,False,False,True,False,False
2,175,2,11,0.11,1,246,False,True,False,False,False
2,190,3,51,0.57,1,288,False,True,False,False,False
2,212,3,67,1.31,1,51,False,False,True,False,False
1,95,1,109,1.11,3,364,False,False,True,False,False
2,140,2,9,0.11,1,254,False,True,False,False,False
2,135,6,187,1.87,1,189,False,False,True,False,False
2,150,2,214,2.08,2,263,False,True,False,False,False
2,190,3,69,0.79,2,258,False,True,False,False,False
1,122,3,93,0.93,1,246,False,False,True,False,False
1,109,1,104,1.05,2,364,False,False,True,False,False
2,145,3,127,1.25,2,72,False,True,False,False,False
2,195,11,30,0.32,1,249,False,False,True,False,False
2,250,2,106,1.34,3,272,False,True,False,False,False
1,125,3,6,0.1,1,325,False,True,False,False,False
1,70,5,47,0.49,1,203,False,True,False,False,False
1,90,2,120,1.27,1,132,False,False,True,False,False
1,65,3,52,0.63,1,5,False,False,True,False,False
2,250,3,32,0.43,2,276,False,False,True,False,False
2,229,1,50,0.5,1,188,False,True,False,False,False
1,59,3,29,0.36,1,15,False,True,False,False,False
2,195,4,59,0.6,1,71,False,True,False,False,False
2,169,1,68,0.67,2,215,False,True,False,False,False
2,115,2,198,2.01,1,257,False,False,False,True,False
1,55,2,1,0.01,1,0,False,True,False,False,False
1,69,2,220,2.17,2,8,False,True,False,False,False
2,150,3,286,2.81,1,191,False,False,True,False,False
2,169,2,398,3.97,3,182,False,True,False,False,False
1,150,3,36,0.36,1,49,False,False,True,False,False
2,135,4,6,0.1,1,0,False,True,False,False,False
1,71,2,182,1.81,1,200,False,False,True,False,False
1,100,3,66,0.68,2,0,False,True,False,False,False
2,200,3,80,0.85,2,106,False,True,False,False,False
2,169,4,240,2.4,1,276,False,False,True,False,False
2,185,3,46,1.07,1,248,False,True,False,False,False
2,65,2,228,2.27,1,194,False,True,False,False,False
2,225,2,33,0.33,1,0,False,False,True,False,False
2,150,5,5,0.05,1,0,False,True,False,False,False
2,139,1,388,3.88,1,142,False,False,True,False,False
1,95,3,223,2.22,2,60,False,False,True,False,False
2,150,2,151,1.51,2,52,False,False,True,False,False
2,90,3,218,2.26,4,324,False,True,False,False,False
2,120,2,75,0.76,2,237,False,True,False,False,False
1,80,1,42,1.21,2,365,False,False,False,True,False
2,175,2,370,3.74,1,204,False,True,False,False,False
2,120,5,104,1.04,1,272,False,True,False,False,False
2,140,7,13,0.13,1,0,False,True,False,False,False
2,200,5,4,0.07,1,9,False,True,False,False,False
1,165,4,11,0.11,3,365,False,True,False,False,False
2,125,4,1,0.01,3,181,False,False,True,False,False
0,65,7,131,1.31,2,0,False,False,True,False,False
1,67,2,136,1.37,1,296,False,False,True,False,False
1,50,1,43,0.45,1,88,False,False,False,True,False
2,130,7,98,0.99,1,35,False,True,False,False,False
1,100,3,31,0.31,1,0,False,True,False,False,False
2,190,3,124,1.76,1,359,False,True,False,False,False
2,249,5,166,1.68,2,365,False,False,True,False,False
1,60,3,380,3.83,2,247,False,False,True,False,False
2,135,2,86,0.87,1,102,False,True,False,False,False
2,175,3,248,2.53,3,274,False,True,False,False,False
2,120,5,49,0.56,1,201,False,False,True,False,False
2,165,7,3,0.03,1,157,False,True,False,False,False
1,90,1,1,0.02,1,0,False,False,True,False,False
2,225,2,56,0.57,1,312,False,False,True,False,False
1,95,2,163,1.66,2,331,False,True,False,False,False
1,55,2,247,2.51,2,275,False,True,False,False,False
1,85,10,116,1.17,1,174,False,False,True,False,False
2,211,1,52,0.6,3,361,False,False,True,False,False
2,145,6,39,0.4,1,0,False,False,True,False,False
2,99,1,320,3.23,1,220,False,False,True,False,False
2,110,4,30,0.32,1,363,False,False,False,True,False
2,80,3,225,2.27,4,315,False,True,False,False,False
2,110,4,70,0.75,1,283,False,True,False,False,False
1,290,2,35,0.36,1,20,False,False,True,False,False
1,87,2,0,0.0,1,0,False,False,True,False,False
2,190,4,50,0.51,1,331,False,True,False,False,False
2,200,2,29,0.31,1,36,False,True,False,False,False
2,165,2,23,0.23,2,7,False,True,False,False,False
2,110,2,142,1.44,2,301,False,False,True,False,False
1,99,2,38,0.54,2,307,False,True,False,False,False
1,39,1,82,0.94,2,365,False,True,False,False,False
2,189,2,403,4.1,3,201,False,False,True,False,False
1,85,1,3,0.03,1,0,False,False,True,False,False
2,122,1,116,1.18,5,271,False,False,True,False,False
2,165,2,175,1.79,1,139,False,True,False,False,False
2,97,3,28,1.21,3,209,False,False,False,True,False
2,170,4,24,0.25,1,0,False,False,True,False,False
2,125,2,15,0.15,1,0,False,True,False,False,False
1,130,4,105,1.07,1,193,False,False,True,False,False
2,225,10,22,0.38,1,52,False,True,False,False,False
1,50,2,263,2.69,2,136,False,True,False,False,False
2,170,3,86,0.91,2,286,False,True,False,False,False
2,132,4,10,0.1,1,0,False,False,True,False,False
2,250,7,18,0.21,1,18,False,True,False,False,False
2,141,5,8,0.21,1,9,False,True,False,False,False
2,249,3,150,1.55,1,277,False,True,False,False,False
1,79,2,115,1.18,1,0,False,True,False,False,False
2,185,2,69,0.71,1,233,False,False,True,False,False
2,120,3,232,2.41,1,221,False,True,False,False,False
2,175,3,68,0.69,1,277,False,False,True,False,False
2,150,4,22,0.23,1,0,False,False,True,False,False
2,259,8,17,0.17,1,343,False,False,True,False,False
1,96,1,34,0.58,1,0,False,False,True,False,False
2,145,7,8,0.08,1,0,False,True,False,False,False
2,200,4,0,0.0,1,0,False,False,True,False,False
2,95,5,2,0.08,1,0,False,False,True,False,False
2,250,4,52,0.72,1,188,False,True,False,False,False
2,295,2,74,0.76,2,264,False,False,True,False,False
2,175,3,18,0.19,1,0,False,False,True,False,False
2,165,2,191,2.18,1,236,False,False,True,False,False
2,250,4,0,0.0,1,0,False,False,True,False,False
2,77,1,197,2.49,1,309,True,False,False,False,False
2,250,4,19,0.2,1,0,False,False,True,False,False
2,129,1,414,4.34,1,245,False,False,False,True,False
1,98,2,8,0.09,4,0,False,True,False,False,False
2,150,2,0,0.0,1,8,False,True,False,False,False
1,95,7,25,0.3,1,359,False,False,True,False,False
1,55,3,119,1.22,5,333,False,False,True,False,False
2,300,2,203,2.14,3,258,False,False,True,False,False
2,125,2,104,1.09,1,22,False,True,False,False,False
1,175,3,175,1.8,1,236,False,False,True,False,False
1,75,3,38,0.42,3,365,False,False,True,False,False
1,165,1,27,0.28,4,311,False,True,False,False,False
2,165,5,117,1.28,1,23,False,True,False,False,False
1,75,3,43,0.44,2,365,False,True,False,False,False
2,130,5,4,0.05,1,0,False,True,False,False,False
2,139,2,385,4.0,1,222,False,True,False,False,False
1,88,1,64,0.68,3,238,False,True,False,False,False
1,80,1,39,0.41,3,218,False,True,False,False,False
1,150,2,37,1.79,1,0,False,False,True,False,False
2,200,3,10,0.12,1,0,False,False,True,False,False
2,200,2,103,1.08,1,235,False,False,True,False,False
1,90,6,3,0.03,1,0,False,True,False,False,False
2,295,3,227,2.33,1,247,False,False,True,False,False
2,130,2,29,0.35,1,119,False,True,False,False,False
1,89,3,205,2.31,3,0,False,True,False,False,False
2,198,5,42,0.44,2,234,False,False,True,False,False
2,99,2,280,2.92,3,257,False,False,True,False,False
1,46,4,86,0.89,3,350,False,True,False,False,False
1,140,2,54,0.56,1,221,False,False,True,False,False
1,75,5,57,0.59,2,201,False,False,True,False,False
1,60,3,480,6.7,1,0,False,True,False,False,False
1,75,2,34,0.35,1,222,False,False,True,False,False
2,205,9,3,0.04,2,76,False,False,True,False,False
2,219,5,2,0.03,1,0,False,True,False,False,False
1,60,1,20,0.21,6,258,False,True,False,False,False
2,185,2,129,1.33,1,14,False,False,True,False,False
2,190,3,147,1.6,1,27,False,False,True,False,False
2,250,2,11,0.12,2,68,False,False,True,False,False
1,65,2,41,0.43,2,59,False,False,True,False,False
2,75,2,87,1.09,1,0,False,True,False,False,False
1,37,4,117,1.21,1,232,True,False,False,False,False
2,85,2,86,0.89,2,15,False,True,False,False,False
2,106,7,0,0.0,2,0,False,True,False,False,False
2,79,2,15,0.16,1,0,False,False,True,False,False
1,85,2,35,0.55,2,161,False,True,False,False,False
1,170,2,17,0.18,2,88,False,False,True,False,False
1,115,3,3,0.04,2,337,False,False,True,False,False
1,89,5,43,0.47,2,247,False,False,True,False,False
0,49,3,168,4.6,1,248,False,False,True,False,False
1,91,3,241,2.49,1,287,False,True,False,False,False
2,150,2,11,0.46,1,0,False,True,False,False,False
2,97,3,31,0.32,1,193,False,True,False,False,False
1,100,4,49,0.51,2,43,False,False,True,False,False
2,179,4,23,0.24,1,25,False,True,False,False,False
2,189,6,90,0.95,1,303,False,False,True,False,False
1,120,2,99,1.04,1,345,False,False,True,False,False
2,300,1,6,0.06,3,115,False,False,True,False,False
2,199,2,111,1.17,1,12,False,False,True,False,False
2,120,2,86,0.91,1,268,False,False,True,False,False
2,125,2,271,2.84,2,347,True,False,False,False,False
1,70,2,227,2.4,1,37,False,True,False,False,False
1,75,4,80,1.55,1,0,False,True,False,False,False
2,99,2,187,1.97,2,287,False,True,False,False,False
2,250,1,2,0.02,1,0,False,False,True,False,False
2,170,3,67,0.7,1,129,False,True,False,False,False
2,165,1,63,0.68,1,0,False,False,True,False,False
1,99,1,89,1.0,1,353,False,False,True,False,False
1,255,4,1,0.02,1,365,False,False,True,False,False
2,169,3,177,1.86,1,297,False,True,False,False,False
2,99,4,90,0.94,1,56,False,True,False,False,False
2,169,7,39,0.41,1,44,False,False,True,False,False
2,160,3,42,0.44,1,355,False,True,False,False,False
2,215,3,33,0.35,1,156,False,True,False,False,False
2,130,3,179,2.02,1,273,False,True,False,False,False
1,110,3,81,0.85,2,274,False,False,True,False,False
1,75,2,160,1.68,1,65,False,False,False,True,False
2,149,6,23,0.27,2,0,False,False,True,False,False
1,89,6,35,0.37,1,180,False,False,True,False,False
1,50,1,225,2.35,1,343,False,False,True,False,False
1,43,1,401,6.62,2,43,False,True,False,False,False
1,42,1,72,0.84,2,96,False,True,False,False,False
1,85,1,46,0.97,1,59,False,True,False,False,False
2,139,3,83,1.19,1,255,False,True,False,False,False
1,105,1,211,2.21,2,252,False,True,False,False,False
2,265,5,15,0.16,1,0,False,True,False,False,False
2,149,1,122,1.29,1,20,False,False,True,False,False
1,68,2,295,3.9,2,188,False,False,True,False,False
2,99,3,207,2.18,1,304,False,True,False,False,False
1,75,3,50,0.65,2,38,False,False,True,False,False
1,100,2,273,2.85,1,254,False,True,False,False,False
0,90,1,0,0.0,1,0,False,False,True,False,False
2,190,4,105,1.62,1,328,False,True,False,False,False
1,67,4,72,0.76,3,0,False,True,False,False,False
2,190,1,8,0.08,1,0,False,False,True,False,False
2,248,2,58,0.61,6,199,False,True,False,False,False
1,100,6,8,0.09,1,249,False,True,False,False,False
1,95,3,172,1.84,2,64,False,False,True,False,False
1,150,1,330,7.14,1,111,False,False,True,False,False
2,145,3,123,1.29,1,287,False,True,False,False,False
1,41,2,55,0.59,1,286,False,True,False,False,False
2,120,4,87,0.99,1,263,False,True,False,False,False
1,50,3,258,2.7,2,276,True,False,False,False,False
2,157,2,4,0.18,1,0,False,True,False,False,False
2,70,4,128,1.34,2,90,False,True,False,False,False
2,185,3,14,0.15,1,0,False,True,False,False,False
2,145,3,30,0.32,3,11,False,True,False,False,False
2,185,3,228,2.39,3,1,False,True,False,False,False
2,250,1,60,0.65,1,0,False,False,True,False,False
2,230,2,179,1.88,1,44,False,False,True,False,False
2,100,7,9,0.1,1,0,False,True,False,False,False
1,40,1,1,0.37,1,5,False,True,False,False,False
1,80,2,2,0.05,1,158,False,False,False,False,True
1,79,3,152,1.6,3,192,False,True,False,False,False
2,300,2,45,0.47,3,31,False,False,True,False,False
1,80,7,19,0.35,1,285,False,False,True,False,False
2,110,1,24,0.26,1,183,False,True,False,False,False
2,172,4,8,0.09,2,189,False,True,False,False,False
2,199,1,29,0.31,2,162,False,False,True,False,False
2,199,1,14,0.15,2,158,False,False,True,False,False
1,100,1,33,0.38,1,84,False,False,True,False,False
1,55,4,99,1.04,1,260,False,False,True,False,False
1,75,3,59,0.62,3,0,False,True,False,False,False
2,146,3,142,1.5,1,166,False,False,True,False,False
1,250,2,0,0.0,1,0,False,False,True,False,False
1,150,3,82,0.87,2,90,False,False,True,False,False
1,120,2,23,0.24,6,342,False,True,False,False,False
2,199,4,32,0.34,1,28,False,False,True,False,False
2,150,5,24,0.25,1,363,False,True,False,False,False
1,69,1,59,0.63,2,86,False,False,True,False,False
2,230,4,18,0.21,1,0,False,True,False,False,False
2,125,4,3,0.03,1,0,False,False,True,False,False
1,79,3,115,1.21,3,264,False,True,False,False,False
1,130,3,154,1.63,2,305,False,True,False,False,False
2,75,6,76,0.8,1,278,False,False,False,False,True
2,220,3,116,1.23,2,135,False,True,False,False,False
2,80,3,234,2.47,4,308,False,True,False,False,False
2,288,2,120,1.27,1,229,False,False,True,False,False
2,135,4,82,0.87,1,273,False,True,False,False,False
2,225,3,13,0.15,1,83,False,False,True,False,False
2,100,7,63,1.87,1,321,False,True,False,False,False
1,130,2,52,0.55,1,303,False,False,True,False,False
1,89,1,278,2.95,3,192,False,False,True,False,False
2,200,5,1,0.01,1,0,False,True,False,False,False
2,80,2,35,0.4,1,36,False,True,False,False,False
1,50,5,235,2.49,2,271,True,False,False,False,False
1,90,1,109,1.15,1,333,False,False,True,False,False
1,270,5,1,0.01,1,210,False,False,True,False,False
2,110,3,305,3.24,1,231,False,True,False,False,False
2,145,1,102,1.52,1,308,False,False,True,False,False
1,55,1,19,0.25,1,311,False,False,False,True,False
1,110,2,61,0.65,1,264,False,False,True,False,False
2,325,5,89,0.94,1,153,False,False,True,False,False
2,300,1,40,0.44,1,0,False,True,False,False,False
2,200,3,100,1.06,1,191,False,False,True,False,False
2,180,2,125,1.36,3,248,False,True,False,False,False
2,160,4,0,0.0,1,0,False,False,True,False,False
2,300,7,2,0.03,1,0,False,False,True,False,False
2,100,5,8,0.11,1,0,False,False,True,False,False
1,85,5,124,1.32,1,69,False,True,False,False,False
1,55,1,147,1.57,1,293,False,True,False,False,False
2,110,6,8,0.33,1,4,False,True,False,False,False
2,200,2,37,0.39,1,257,False,False,True,False,False
2,137,1,24,0.29,1,0,False,True,False,False,False
2,280,3,5,0.05,1,365,False,True,False,False,False
1,71,4,229,2.45,1,26,False,False,True,False,False
1,42,2,108,1.36,2,302,True,False,False,False,False
2,180,2,181,1.92,1,280,False,True,False,False,False
2,226,5,34,0.39,1,302,False,False,True,False,False
1,85,3,5,0.05,1,281,False,True,False,False,False
2,135,1,5,0.06,1,0,False,False,True,False,False
2,79,4,60,0.64,2,297,False,False,False,True,False
2,154,1,238,2.59,1,246,False,False,True,False,False
2,246,4,6,0.16,1,0,False,False,True,False,False
1,100,1,7,0.08,4,281,False,True,False,False,False
2,295,5,125,3.04,1,0,False,True,False,False,False
1,150,3,0,0.0,1,0,False,True,False,False,False
2,119,1,49,0.58,1,0,False,False,True,False,False
1,125,1,11,0.12,2,365,False,False,True,False,False
1,129,2,241,2.6,1,303,False,True,False,False,False
1,140,1,176,1.89,1,300,False,False,True,False,False
1,115,4,151,1.63,2,323,False,False,True,False,False
2,200,3,49,0.53,2,0,False,False,True,False,False
1,69,1,2,0.04,1,303,False,True,False,False,False
2,185,2,16,0.23,1,261,False,False,True,False,False
1,81,2,72,0.77,1,0,False,False,True,False,False
1,54,5,56,0.66,3,365,False,False,False,True,False
2,110,1,2,0.03,1,0,False,True,False,False,False
2,220,2,178,2.69,1,297,False,True,False,False,False
